,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Total Cases/1 Million population,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
Gibraltar,5376,5,97,0,5191,7,88,1,159625,2880,339904,10092461,Europe
San Marino,5321,0,90,0,5150,0,81,1,156436,2646,75461,2218528,Europe
Barbados,5152,0,51,0,4688,0,413,0,17902,177,266567,926265,North America
Chad,4994,0,174,0,4812,0,8,0,294,10,139667,8228,Africa
Comoros,4076,0,147,0,3902,0,27,0,4574,165,0,0,Africa
Sint Maarten,3775,0,56,0,3462,0,257,14,86891,1289,41509,955438,North America
New Zealand,3729,32,26,0,2948,47,755,5,745,5,3024268,604600,Australia/Oceania
Saint Martin,3463,0,45,0,1399,0,2019,7,87813,1141,54303,1376991,North America
Liechtenstein,3301,12,59,0,3189,3,53,3,86287,1542,49126,1284138,Europe
Monaco,3220,0,33,0,3108,0,79,6,81381,834,54960,1389036,Europe
Brunei ,3093,133,12,0,1297,153,1784,27,6992,27,243746,550993,Asia
Bermuda,2923,0,34,0,2684,0,205,1,47139,548,465071,7500177,North America
Turks and Caicos,2674,2,20,0,2569,1,85,1,67991,509,94789,2410155,North America
Sao Tome and Principe,2634,0,37,0,2438,0,159,0,11764,165,14689,65603,Africa
Bhutan,2596,0,3,0,2574,0,19,0,3322,4,798573,1021797,Asia
British Virgin Islands,2568,0,37,0,2500,0,31,7,84291,1214,77252,2535679,North America
St. Vincent Grenadines,2355,0,12,0,2305,0,38,2,21149,108,67589,606985,North America
Dominica,1832,0,4,0,1210,0,618,0,25376,55,50570,700464,North America
Caribbean Netherlands,1800,0,17,0,1754,0,29,0,67904,641,20707,781160,North America
Antigua and Barbuda,1750,8,44,0,1349,0,357,9,17699,445,17409,176067,North America
St. Barth,1534,0,2,0,462,0,1070,0,154762,202,38369,3870964,North America
Saint Kitts and Nevis,1166,18,5,1,659,14,502,1,21738,93,31824,593300,North America
Faeroe Islands,1002,0,2,0,995,0,5,0,20416,41,410000,8353708,Europe
Grenada,817,0,4,0,214,0,599,0,7222,35,60714,536660,North America
Cayman Islands,690,1,2,0,671,1,17,0,10357,30,128756,1932577,North America
Wallis and Futuna,445,0,7,0,438,0,0,0,40425,636,20508,1863009,Australia/Oceania
Greenland,347,0,0,0,298,0,49,2,6100,0,57192,1005397,North America
Anguilla,256,0,0,0,208,0,48,0,16887,0,38936,2568338,North America
New Caledonia,136,0,0,0,58,0,78,0,471,0,41120,142428,Australia/Oceania
Falkland Islands,67,0,0,0,63,0,4,0,18621,0,7531,2093107,South America
Macao,63,0,0,0,60,0,3,0,96,0,4778,7243,Asia
Saint Pierre Miquelon,31,0,0,0,30,0,1,0,5381,0,8671,1505121,North America
Montserrat,29,0,1,0,22,0,6,0,5805,200,1408,281825,North America
Solomon Islands,20,0,0,0,20,0,0,0,28,0,4500,6369,Australia/Oceania
Vanuatu,4,0,1,0,3,0,0,0,13,3,23000,72897,Australia/Oceania
Palau,2,0,0,0,1,0,1,0,110,0,9304,511349,Australia/Oceania
Saint Helena,2,0,0,0,2,0,0,0,328,0,0,0,Africa
